City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,san patricio,28.017,-97.5169,99.32,48,11,15.52,US,few clouds
296,mount isa,-20.7333,139.5,47.97,76,15,6.91,AU,few clouds
297,san pedro,14.35,121.0167,81.63,84,20,2.3,PH,few clouds
298,las vegas,36.175,-115.1372,107.76,13,0,18.01,US,clear sky
299,nova xavantina,-14.6667,-52.35,83.48,27,0,3.2,BR,clear sky
300,price,39.5994,-110.8107,90.66,10,0,14.97,US,clear sky
301,baranchinskiy,58.1617,59.6991,63.05,97,92,3.38,RU,overcast clouds
302,monte alegre,-2.0078,-54.0692,84.72,62,55,6.04,BR,broken clouds
303,mont-dore,-22.2833,166.5833,66.99,99,99,7.45,NC,overcast clouds
304,faya-largeau,17.9257,19.1043,92.32,15,69,9.66,TD,broken clouds
305,labrador city,52.9463,-66.9114,76.91,65,75,9.22,CA,light rain
306,kwolla,8.9333,9.2833,77.81,78,48,3.11,NG,scattered clouds
307,namibe,-15.1961,12.1522,65.79,74,1,3.87,AO,clear sky
308,songea,-10.6833,35.65,63.75,88,0,0.0,TZ,clear sky
309,lorengau,-2.0226,147.2712,80.58,85,100,16.02,PG,overcast clouds
310,siwa oasis,29.2041,25.5195,80.56,38,0,14.63,EG,clear sky
311,shamakhi,40.6314,48.6414,71.85,71,10,2.77,AZ,clear sky
312,mo i rana,66.3128,14.1428,72.07,61,0,7.0,NO,clear sky
313,tsengel,49.4783,100.8894,57.15,97,100,2.44,MN,overcast clouds
314,weno,7.4515,151.8468,82.35,83,100,4.61,FM,overcast clouds
315,ovalle,-30.5983,-71.2003,59.25,69,100,6.02,CL,overcast clouds
316,rakops,-21.0167,24.3333,45.23,28,0,7.81,BW,clear sky
317,voru,57.8339,27.0194,51.64,72,11,4.65,EE,few clouds
318,salalah,17.0151,54.0924,80.69,94,100,8.05,OM,light intensity drizzle
319,badger,64.8,-147.5333,71.51,53,75,9.22,US,broken clouds
320,prince rupert,54.3161,-130.3201,55.49,84,100,5.75,CA,overcast clouds
321,arteche,12.2645,125.4048,78.8,89,100,1.83,PH,overcast clouds
322,ribeira brava,32.65,-17.0667,76.01,85,15,3.15,PT,few clouds
323,el abiodh sidi cheikh,32.893,0.5484,91.63,13,11,6.08,DZ,few clouds
324,gaiman,-43.2897,-65.4929,42.42,50,75,6.82,AR,broken clouds
325,sosnogorsk,63.6023,53.8817,45.72,82,100,5.1,RU,overcast clouds
326,bunia,1.5667,30.25,63.66,87,83,1.14,CD,light rain
327,inhambane,-23.865,35.3833,60.87,89,83,14.65,MZ,broken clouds
328,jiuquan,39.7432,98.5174,67.87,63,100,7.05,CN,overcast clouds
329,unai,-16.3575,-46.9061,77.18,30,69,3.15,BR,broken clouds
330,bandarbeyla,9.4942,50.8122,75.25,87,44,30.2,SO,scattered clouds
331,hithadhoo,-0.6,73.0833,80.85,68,96,1.86,MV,overcast clouds
332,lodja,-3.4833,23.4333,77.63,45,13,0.65,CD,few clouds
333,okhotsk,59.3833,143.3,57.09,63,0,1.81,RU,clear sky
334,broken hill,-31.95,141.4333,44.33,79,0,1.92,AU,clear sky
335,harstad,68.799,16.5293,62.24,76,53,2.15,NO,broken clouds
336,argostolion,38.1811,20.489,77.07,69,0,6.91,GR,clear sky
337,nova vicosa,-17.8919,-39.3719,72.82,86,8,5.12,BR,clear sky
338,kashgar,39.4547,75.9797,70.81,37,40,8.95,CN,scattered clouds
339,pariaman,-0.619,100.12,75.25,91,100,7.11,ID,overcast clouds
340,diego de almagro,-26.3667,-70.05,65.71,36,100,5.79,CL,overcast clouds
341,coahuayana de hidalgo,18.7,-103.6583,87.33,66,99,5.75,MX,light rain
342,akureyri,65.6835,-18.0878,62.53,48,75,17.27,IS,broken clouds
343,viru,-8.4167,-78.75,77.2,66,3,10.4,PE,clear sky
344,mesquite,32.7668,-96.5992,97.56,61,0,6.91,US,clear sky
345,kargasok,59.0556,80.8572,60.94,91,100,9.26,RU,overcast clouds
346,kailua-kona,19.6406,-155.9956,83.28,74,0,10.36,US,clear sky
347,howard springs,-12.497,131.047,75.11,62,13,7.49,AU,few clouds
348,kabare,-2.4683,28.8242,61.39,86,46,1.63,CD,scattered clouds
349,touros,-5.1989,-35.4608,77.58,74,2,11.74,BR,clear sky
350,gizo,-8.103,156.8419,80.82,78,85,11.34,SB,overcast clouds
351,ar raqqah,35.95,39.0167,84.76,30,1,17.2,SY,clear sky
352,queenstown,-31.8976,26.8753,37.26,82,65,3.2,ZA,broken clouds
353,keelung,25.1283,121.7419,85.95,90,18,1.36,TW,few clouds
354,arkhipo-osipovka,44.37,38.52,67.62,68,96,4.29,RU,overcast clouds
